競馬場,RPT,分類ラベル,ゾーンラベル,出走数,勝ち数,連対数,複勝数,勝率,連対率,複勝率
船橋,3,単勝オッズ帯,O1（1.0〜2.9倍）,39.0,18.0,22,26,46.2,56.4,66.7
船橋,3,単勝オッズ帯,O2（3.0〜6.9倍）,97.0,13.0,32,44,13.4,33.0,45.4
船橋,3,単勝オッズ帯,O3（7.0〜14.9倍）,94.0,8.0,15,30,8.5,16.0,31.9
船橋,3,単勝オッズ帯,O4（15.0〜29.9倍）,100.0,7.0,19,27,7.0,19.0,27.0
船橋,3,単勝オッズ帯,O5（30.0倍以上）,182.0,1.0,6,14,0.5,3.3,7.7
船橋,4,単勝オッズ帯,O1（1.0〜2.9倍）,27.0,9.0,16,18,33.3,59.3,66.7
船橋,4,単勝オッズ帯,O2（3.0〜6.9倍）,132.0,29.0,47,63,22.0,35.6,47.7
船橋,4,単勝オッズ帯,O3（7.0〜14.9倍）,91.0,4.0,12,20,4.4,13.2,22.0
船橋,4,単勝オッズ帯,O4（15.0〜29.9倍）,68.0,1.0,8,14,1.5,11.8,20.6
船橋,4,単勝オッズ帯,O5（30.0倍以上）,169.0,2.0,7,21,1.2,4.1,12.4
